Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Area
1,55,Male,Blouse,Clothing,53,Kentucky,Gray,Winter,East
2,19,Male,Sweater,Clothing,64,Maine,Maroon,Winter,East
3,50,Male,Jeans,Clothing,73,Massachusetts,Maroon,Spring,East
4,21,Male,Sandals,Footwear,90,Rhode Island,Maroon,Spring,East
5,45,Male,Blouse,Clothing,49,Oregon,Turquoise,Spring,West
6,46,Male,Sneakers,Footwear,20,Wyoming,White,Summer,West
7,63,Male,Shirt,Clothing,85,Montana,Gray,Fall,West
8,27,Male,Shorts,Clothing,34,Louisiana,Charcoal,Winter,East
9,26,Male,Coat,Outerwear,97,West Virginia,Silver,Summer,East
10,57,Male,Handbag,Accessories,31,Missouri,Pink,Spring,East
11,53,Male,Shoes,Footwear,34,Arkansas,Purple,Fall,East
13,61,Male,Coat,Outerwear,72,Delaware,Gold,Winter,East
14,65,Male,Dress,Clothing,51,New Hampshire,Violet,Spring,East
15,64,Male,Coat,Outerwear,53,New York,Teal,Winter,East
16,64,Male,Skirt,Clothing,81,Rhode Island,Teal,Winter,East
17,25,Male,Sunglasses,Accessories,36,Alabama,Gray,Spring,East
18,53,Male,Dress,Clothing,38,Mississippi,Lavender,Winter,East
19,52,Male,Sweater,Clothing,48,Montana,Black,Summer,West
20,66,Male,Pants,Clothing,90,Rhode Island,Green,Summer,East
21,21,Male,Pants,Clothing,51,Louisiana,Black,Winter,East
22,31,Male,Pants,Clothing,62,North Carolina,Charcoal,Winter,East
23,56,Male,Pants,Clothing,37,California,Peach,Summer,West
24,31,Male,Pants,Clothing,88,Oklahoma,White,Winter,West
25,18,Male,Jacket,Outerwear,22,Florida,Green,Fall,East
26,18,Male,Hoodie,Clothing,25,Texas,Silver,Summer,West
27,38,Male,Jewelry,Accessories,20,Nevada,Red,Spring,West
28,56,Male,Shorts,Clothing,56,Kentucky,Cyan,Summer,East
29,54,Male,Handbag,Accessories,94,North Carolina,Gray,Fall,East
30,31,Male,Dress,Clothing,48,Wyoming,Black,Fall,West
31,57,Male,Jewelry,Accessories,31,North Carolina,Black,Winter,East
32,33,Male,Dress,Clothing,79,West Virginia,Brown,Winter,East
33,36,Male,Jacket,Outerwear,67,Kansas,Silver,Summer,West
34,54,Male,Pants,Clothing,38,Colorado,Green,Summer,West
35,36,Male,T-shirt,Clothing,91,North Dakota,Violet,Spring,West
36,54,Male,Blouse,Clothing,33,Massachusetts,Cyan,Summer,East
37,35,Male,T-shirt,Clothing,69,Illinois,Maroon,Winter,East
38,35,Male,Jeans,Clothing,45,Indiana,Cyan,Summer,East
39,29,Male,Dress,Clothing,37,Florida,Red,Winter,East
40,70,Male,Pants,Clothing,60,Arizona,Turquoise,Summer,West
41,69,Male,Handbag,Accessories,76,Louisiana,Beige,Winter,East
43,20,Male,Coat,Outerwear,100,Tennessee,Beige,Spring,East
44,25,Male,Scarf,Accessories,69,Ohio,Lavender,Fall,East
45,39,Male,Hat,Accessories,53,Kentucky,Silver,Summer,East
46,50,Male,Socks,Clothing,21,Tennessee,Indigo,Fall,East
47,57,Male,Shirt,Clothing,43,California,White,Summer,West
48,55,Male,Jewelry,Accessories,54,Montana,Charcoal,Winter,West
49,42,Male,Shirt,Clothing,55,Nevada,Orange,Summer,West
50,68,Male,Hoodie,Clothing,30,New Jersey,Indigo,Spring,East
51,49,Male,Blouse,Clothing,28,Maryland,Red,Spring,East
52,59,Male,Skirt,Clothing,59,Vermont,Gray,Winter,East
54,29,Male,Skirt,Clothing,24,Mississippi,Peach,Winter,East
55,47,Male,Coat,Outerwear,94,New Mexico,Brown,Summer,West
56,40,Male,Jacket,Outerwear,28,South Carolina,Lavender,Winter,East
57,41,Male,Backpack,Accessories,73,Mississippi,Brown,Summer,East
58,21,Male,Coat,Outerwear,64,West Virginia,White,Summer,East
59,69,Male,Hoodie,Clothing,54,Missouri,Charcoal,Summer,East
60,63,Male,Belt,Accessories,79,Louisiana,Yellow,Spring,East
61,50,Male,Sweater,Clothing,37,Idaho,Brown,Summer,West
62,55,Male,Scarf,Accessories,68,Texas,Orange,Winter,West
63,30,Male,Sneakers,Footwear,21,Mississippi,Magenta,Spring,East
64,33,Male,Sunglasses,Accessories,79,Arizona,Lavender,Winter,West
65,65,Male,Boots,Footwear,83,Alabama,Green,Fall,East
66,65,Male,Backpack,Accessories,36,New Jersey,Purple,Spring,East
67,31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,Winter,East
68,45,Male,Coat,Outerwear,33,Connecticut,Gray,Winter,East
69,57,Male,Handbag,Accessories,46,Utah,Silver,Summer,West
70,48,Male,Belt,Accessories,70,Tennessee,Cyan,Summer,East
71,22,Male,Belt,Accessories,29,Alabama,Magenta,Fall,East
72,36,Male,Dress,Clothing,48,Virginia,Gold,Summer,East
73,18,Male,Dress,Clothing,26,Georgia,Olive,Winter,East
75,49,Male,Gloves,Accessories,58,Indiana,Violet,Spring,East
76,64,Male,Scarf,Accessories,85,Utah,Blue,Summer,West
77,50,Male,Hat,Accessories,43,Delaware,Teal,Summer,East
78,22,Male,Dress,Clothing,53,Delaware,Gold,Summer,East
79,50,Male,Skirt,Clothing,91,Nebraska,Maroon,Spring,West
80,38,Male,Jacket,Outerwear,96,Iowa,Olive,Winter,East
81,19,Male,Sandals,Footwear,72,New York,Blue,Summer,East
82,67,Male,Shoes,Footwear,96,Virginia,Maroon,Summer,East
83,19,Male,Pants,Clothing,28,Georgia,Olive,Spring,East
84,36,Male,Dress,Clothing,40,Texas,Turquoise,Summer,West
85,52,Male,Coat,Outerwear,32,Arizona,Peach,Spring,West
86,53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,Winter,West
87,24,Male,Hoodie,Clothing,41,Nevada,Pink,Spring,West
88,52,Male,Shoes,Footwear,53,Ohio,Green,Fall,East
89,33,Male,T-shirt,Clothing,47,Wyoming,Orange,Fall,West
90,47,Male,Jacket,Outerwear,83,California,Pink,Fall,West
91,25,Male,Hat,Accessories,48,South Carolina,Violet,Summer,East
92,44,Male,Scarf,Accessories,99,South Carolina,Green,Winter,East
93,61,Male,Jacket,Outerwear,87,Texas,Olive,Winter,West
94,37,Male,Sweater,Clothing,62,Florida,Purple,Fall,East
95,58,Male,Skirt,Clothing,76,Nevada,Silver,Spring,West
96,37,Male,Sneakers,Footwear,100,Missouri,Pink,Fall,East
97,32,Male,Gloves,Accessories,73,Delaware,Gold,Spring,East
98,21,Male,Shoes,Footwear,92,Virginia,Teal,Winter,East
99,20,Male,Jeans,Clothing,67,New York,Teal,Spring,East
100,26,Male,Hoodie,Clothing,40,Missouri,Indigo,Summer,East
101,62,Male,Sunglasses,Accessories,98,South Dakota,Maroon,Fall,West
102,27,Male,Coat,Outerwear,85,North Dakota,White,Spring,West
103,51,Male,Socks,Clothing,67,Oklahoma,Violet,Winter,West
104,54,Male,Boots,Footwear,89,West Virginia,Red,Winter,East
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Pink,Spring,East
106,69,Male,Backpack,Accessories,96,New York,Charcoal,Fall,East
